operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,12.5,0.35579776763916016,0.004586800001561642,136592
encryption,2,100KB file,34.6,0.33417320251464844,0.003535599997121608,136592
encryption,3,100KB file,25.0,0.33342552185058594,0.00390749999860418,136592
encryption,4,100KB file,12.5,0.3331584930419922,0.00356399999873247,136592
encryption,5,100KB file,12.5,0.3326854705810547,0.0051114000016241334,136592
encryption,6,100KB file,4.2,0.3322429656982422,0.0036400000026333146,136592
encryption,7,100KB file,8.3,0.3320446014404297,0.005293599999276921,136592
encryption,8,100KB file,11.1,0.3318157196044922,0.005126300002302742,136592
encryption,9,100KB file,15.4,0.33145713806152344,0.006362399999488844,136592
encryption,10,100KB file,16.7,0.33136558532714844,0.006732199999532895,136592
decryption,1,100KB file,4.3,0.3042488098144531,0.003613799999584444,102410
decryption,2,100KB file,4.2,0.29923343658447266,0.003650700000434881,102410
decryption,3,100KB file,29.2,0.2986612319946289,0.0027579999987210613,102410
decryption,4,100KB file,3.8,0.2986154556274414,0.0035739999984798487,102410
decryption,5,100KB file,4.2,0.29856204986572266,0.005239199999778066,102410
decryption,6,100KB file,17.4,0.29854679107666016,0.005121099999087164,102410
decryption,7,100KB file,16.7,0.29853153228759766,0.007946900001115864,102410
decryption,8,100KB file,16.7,0.29851627349853516,0.010619900000165217,102410
decryption,9,100KB file,8.3,0.29850101470947266,0.0028089000006730203,102410
decryption,10,100KB file,12.5,0.29848575592041016,0.008742500001972076,102410
