operation,iteration,file_size_label,cpu_percent,memory_used_mb,time_seconds
encryption,1,100KB file,12.2,10315.44921875,0.001486063003540039
encryption,2,100KB file,32.7,10315.63671875,0.001317739486694336
encryption,3,100KB file,8.2,10313.984375,0.0012905597686767578
encryption,4,100KB file,26.3,10313.12890625,0.0012543201446533203
encryption,5,100KB file,15.7,10311.27734375,0.00125885009765625
encryption,6,100KB file,23.4,10308.3359375,0.0014791488647460938
encryption,7,100KB file,6.2,10308.1796875,0.001459360122680664
encryption,8,100KB file,0.0,10319.55859375,0.0013415813446044922
encryption,9,100KB file,18.4,10318.18359375,0.0012726783752441406
encryption,10,100KB file,30.6,10317.5234375,0.0012962818145751953
encryption,11,100KB file,36.0,10322.33203125,0.0012049674987792969
encryption,12,100KB file,5.4,10322.53125,0.0024521350860595703
encryption,13,100KB file,7.3,10322.26953125,0.001252889633178711
encryption,14,100KB file,12.5,10322.32421875,0.0013396739959716797
encryption,15,100KB file,0.0,10322.20703125,0.001644134521484375
encryption,16,100KB file,36.7,10322.40625,0.0013201236724853516
encryption,17,100KB file,1.8,10322.61328125,0.001310586929321289
encryption,18,100KB file,21.4,10323.1171875,0.0013456344604492188
encryption,19,100KB file,2.0,10322.96875,0.0014767646789550781
encryption,20,100KB file,16.1,10327.8828125,0.0014641284942626953
encryption,21,100KB file,6.2,10327.42578125,0.0012311935424804688
encryption,22,100KB file,0.0,10326.82421875,0.002132892608642578
encryption,23,100KB file,20.4,10326.39453125,0.0012280941009521484
encryption,24,100KB file,1.9,10326.08984375,0.001344919204711914
encryption,25,100KB file,21.8,10325.34375,0.0012466907501220703
encryption,26,100KB file,52.1,10317.8671875,0.0013306140899658203
encryption,27,100KB file,2.1,10317.75390625,0.0015490055084228516
encryption,28,100KB file,10.4,10326.37890625,0.0013031959533691406
encryption,29,100KB file,3.6,10324.890625,0.0013861656188964844
encryption,30,100KB file,21.1,10326.91796875,0.0012869834899902344
encryption,31,100KB file,3.5,10325.96875,0.0012345314025878906
encryption,32,100KB file,20.8,10324.9921875,0.0013320446014404297
encryption,33,100KB file,2.1,10324.234375,0.001313924789428711
encryption,34,100KB file,6.2,10322.58203125,0.002454996109008789
encryption,35,100KB file,10.4,10320.73828125,0.0014698505401611328
encryption,36,100KB file,12.3,10326.7421875,0.0013141632080078125
encryption,37,100KB file,35.7,10325.109375,0.0012400150299072266
encryption,38,100KB file,3.6,10324.63671875,0.0012967586517333984
encryption,39,100KB file,45.1,10325.69140625,0.0016541481018066406
encryption,40,100KB file,10.4,10325.03515625,0.0013153553009033203
encryption,41,100KB file,14.3,10334.28125,0.0012545585632324219
encryption,42,100KB file,32.1,10334.26953125,0.0013022422790527344
encryption,43,100KB file,0.0,10334.27734375,0.0012714862823486328
encryption,44,100KB file,63.3,10333.8125,0.0023984909057617188
encryption,45,100KB file,22.4,10345.70703125,0.0012352466583251953
encryption,46,100KB file,40.0,10345.0859375,0.001420736312866211
encryption,47,100KB file,29.2,10344.71484375,0.0013763904571533203
encryption,48,100KB file,29.8,10344.4609375,0.0013232231140136719
encryption,49,100KB file,41.5,10347.33203125,0.0012247562408447266
encryption,50,100KB file,11.8,10346.17578125,0.0013103485107421875
decryption,1,100KB file,14.3,10347.5546875,0.0012698173522949219
